Date,BTC,ISM,M2
2023-05-24,53104.45,57.65,131.38
2023-05-25,53270.67,57.62,131.69
2023-05-26,53426.89,57.69,132.00
2023-05-27,53593.12,57.76,132.32
2023-05-28,53759.34,57.73,132.63
2023-05-29,53915.56,57.80,132.95
2023-05-30,54081.78,57.87,133.27
2023-05-31,54248.01,57.84,133.59
2023-06-01,54404.23,57.91,133.91
2023-06-02,54570.45,57.98,134.23
2023-06-03,54736.67,57.95,134.56
2023-06-04,54892.89,58.02,134.88
2023-06-05,55059.12,58.09,135.21
2023-06-06,55225.34,58.06,135.54
2023-06-07,55381.56,58.13,135.87
2023-06-08,55547.78,58.20,136.20
2023-06-09,55714.01,58.17,136.53
2023-06-10,55870.23,58.24,136.87
2023-06-11,56036.45,58.31,137.20
2023-06-12,56202.67,58.28,137.54
2023-06-13,56358.89,58.35,137.88
2023-06-14,56525.12,58.42,138.22
2023-06-15,56691.34,58.39,138.56
2023-06-16,56847.56,58.46,138.90
2023-06-17,57013.78,58.53,139.25
2023-06-18,57180.01,58.50,139.59
2023-06-19,57336.23,58.57,139.94
2023-06-20,57502.45,58.64,140.29
2023-06-21,57668.67,58.61,140.64
2023-06-22,57824.89,58.68,140.99
2023-06-23,57991.12,58.75,141.34
2023-06-24,58157.34,58.72,141.70
2023-06-25,58313.56,58.79,142.05
2023-06-26,58479.78,58.86,142.41
2023-06-27,58646.01,58.83,142.77
2023-06-28,58802.23,58.90,143.13
2023-06-29,58968.45,58.97,143.49
2023-06-30,59134.67,58.94,143.85
2023-07-01,59290.89,59.01,144.21
2023-07-02,59457.12,59.08,144.58
2023-07-03,59623.34,59.05,144.95
2023-07-04,59779.56,59.12,145.32
2023-07-05,59945.78,59.19,145.69
2023-07-06,60112.01,59.16,146.06
2023-07-07,60268.23,59.23,146.43
2023-07-08,60434.45,59.30,146.80
2023-07-09,60600.67,59.27,147.18
2023-07-10,60756.89,59.34,147.56
2023-07-11,60923.12,59.41,147.94
2023-07-12,61089.34,59.38,148.32
2023-07-13,61245.56,59.45,148.70
2023-07-14,61411.78,59.52,149.08
2023-07-15,61578.01,59.49,149.46
